06/10/2024, 12:43:07|Estacion1|52
06/10/2024, 12:43:18|Estacion1|52
06/10/2024, 12:43:29|Estacion1|52
06/10/2024, 12:43:40|Estacion1|52
06/10/2024, 12:44:58|Estacion1|52
06/10/2024, 12:45:09|Estacion1|52
06/10/2024, 12:45:20|Estacion1|52
06/10/2024, 12:46:16|Estacion1|52
06/10/2024, 12:46:38|Estacion1|52
06/10/2024, 12:46:50|Estacion1|52
06/10/2024, 12:47:12|Estacion1|52
06/10/2024, 12:47:23|Estacion1|53
06/10/2024, 12:47:35|Estacion1|95
06/10/2024, 12:47:46|Estacion1|85
06/10/2024, 12:47:57|Estacion1|83
06/10/2024, 12:48:08|Estacion1|81
06/10/2024, 12:48:19|Estacion1|80
06/10/2024, 12:48:31|Estacion1|80
06/10/2024, 12:48:42|Estacion1|80
06/10/2024, 12:48:53|Estacion1|80
06/10/2024, 12:49:04|Estacion1|80
06/10/2024, 12:49:16|Estacion1|80
06/10/2024, 12:49:38|Estacion1|80
06/10/2024, 12:49:49|Estacion1|79
06/10/2024, 12:50:01|Estacion1|79
06/10/2024, 12:50:35|Estacion1|79
06/10/2024, 12:50:47|Estacion1|79
